origin,destination,flights,origin_lat,origin_lon,destination_lat,destination_lon
KJFK,LFPO,3,40.626115,-73.782432,48.727661,2.403118
KORD,ZBAA,3,41.967389,-87.912406,41.074855,114.603008
KPDX,KPHL,3,45.586756,-122.599903,39.868881,-75.240465
KPHL,KSNA,3,39.868881,-75.240465,33.675053,-117.869274
KSFO,SBGR,3,37.622192,-122.377739,-23.491629,-46.672847
KTEB,LBBG,3,40.850544,-74.064697,42.51329,28.269695
KTEB,LEMG,3,40.850544,-74.064697,36.682744,-4.492429
KTEB,LEPA,3,40.850544,-74.064697,39.772137,3.064087
KTEB,RJTT,3,40.850544,-74.064697,35.558275,139.769206
LFPG,RJAA,3,48.99637,2.629346,35.288223,144.953327
LGAT,LTAI,3,36.249343,24.156072,36.915925,30.823875
LLBG,LTAI,3,32.004093,34.891163,36.915925,30.823875
LLBG,VABB,3,32.004093,34.891163,19.090235,72.853151
LLBG,VTBS,3,32.004093,34.891163,13.69154,100.74
PHNL,YBBN,3,21.325289,-157.93026,-27.36335,153.118087
CYUL,EGSS,2,45.49585,-73.691319,51.883644,0.232735
CYUL,ESSA,2,45.49585,-73.691319,59.625363,17.908851
CYUL,KSNA,2,45.49585,-73.691319,33.675053,-117.869274
CYVR,KDAL,2,49.182449,-123.140822,32.834524,-96.666601
CYVR,KMDW,2,49.182449,-123.140822,41.7848,-87.752194
CYYC,KIND,2,51.129936,-113.990373,39.74807,-86.307007
CYYZ,KIWA,2,43.665475,-79.611544,33.267838,-111.814783
CYYZ,LLBG,2,43.665475,-79.611544,32.004093,34.891163
EBBR,KIAH,2,50.892426,4.495041,29.97757,-95.277961
EBBR,KPHL,2,50.892426,4.495041,39.868881,-75.240465
EBBR,LFPO,2,50.892426,4.495041,48.727661,2.403118
EDDB,KHHR,2,52.343674,13.461075,33.935806,-118.398257
EGSS,KIAH,2,51.883644,0.232735,29.97757,-95.277961
EGSS,KMDW,2,51.883644,0.232735,41.7848,-87.752194
EGSS,KSFO,2,51.883644,0.232735,37.622192,-122.377739
EIDW,VABB,2,53.422464,-6.279737,19.090235,72.853151
EKCH,LLBG,2,55.631653,12.677224,32.004093,34.891163
ENGM,KHHR,2,60.140945,11.048363,33.935806,-118.398257
ENGM,KORD,2,60.140945,11.048363,41.967389,-87.912406
ENGM,KTEB,2,60.140945,11.048363,40.850544,-74.064697
ESSA,KMIA,2,59.625363,17.908851,25.78363,-80.373077
ESSA,VIDP,2,59.625363,17.908851,28.513339,77.239541
KADS,KBWI,2,33.030116,-96.838653,39.177017,-76.729829
KADS,KDAB,2,33.030116,-96.838653,29.075684,-81.267823
KADS,KEWR,2,33.030116,-96.838653,40.698946,-74.164488
KADS,KJFK,2,33.030116,-96.838653,40.626115,-73.782432
KADS,LFPB,2,33.030116,-96.838653,48.99502,2.534156
KAFW,KLGA,2,33.19249,-97.198187,40.779353,-73.872351
KAFW,KRDU,2,33.19249,-97.198187,35.883396,-78.774193
KAFW,OTBD,2,33.19249,-97.198187,25.369446,51.594493
KAUS,PHNL,2,30.398041,-97.566875,21.325289,-157.93026
KBFI,LIMC,2,47.458901,-122.307833,45.590836,8.74438
KBNA,KIWA,2,36.097583,-86.690252,33.267838,-111.814783
KBNA,RJBB,2,36.097583,-86.690252,34.468627,135.305672
KBTF,LFPB,2,40.802456,-111.976364,48.99502,2.534156
KCLT,LFPB,2,35.173521,-80.931816,48.99502,2.534156
KCLT,LSZH,2,35.173521,-80.931816,47.463867,8.546883
KDAB,KIAH,2,29.075684,-81.267823,29.97757,-95.277961
KDAL,SBGR,2,32.834524,-96.666601,-23.491629,-46.672847
KEWR,PHNL,2,40.698946,-74.164488,21.325289,-157.93026
KFLL,KSNA,2,26.077011,-80.175787,33.675053,-117.869274
KFLL,LFPB,2,26.077011,-80.175787,48.99502,2.534156
KIAH,LOWW,2,29.97757,-95.277961,48.109947,16.578643
KIAH,LSZH,2,29.97757,-95.277961,47.463867,8.546883
KIWA,KMDW,2,33.267838,-111.814783,41.7848,-87.752194
KIWA,KORD,2,33.267838,-111.814783,41.967389,-87.912406
KIWA,KTPA,2,33.267838,-111.814783,27.986519,-82.541576
KJFK,RJBB,2,40.626115,-73.782432,34.468627,135.305672
KLGA,KPHX,2,40.779353,-73.872351,33.440861,-112.0092
KMCO,KSNA,2,28.432892,-81.295817,33.675053,-117.869274
KMCO,LEMG,2,28.432892,-81.295817,36.682744,-4.492429
KMIA,LIMC,2,25.78363,-80.373077,45.590836,8.74438
KMSP,LEBL,2,44.886354,-93.20573,41.298569,2.082809
KORD,LLBG,2,41.967389,-87.912406,32.004093,34.891163
KORD,VIDP,2,41.967389,-87.912406,28.513339,77.239541
KSFO,LEPA,2,37.622192,-122.377739,39.772137,3.064087
KSFO,LGAT,2,37.622192,-122.377739,36.249343,24.156072
KTEB,PHNL,2,40.850544,-74.064697,21.325289,-157.93026
LBBG,OMDB,2,42.51329,28.269695,25.226349,55.41214
LEBL,LTAI,2,41.298569,2.082809,36.915925,30.823875
LEBL,VABB,2,41.298569,2.082809,19.090235,72.853151
LEBL,VOBL,2,41.298569,2.082809,13.189133,77.761423
LEMG,OMDB,2,36.682744,-4.492429,25.226349,55.41214
LEPA,OMDB,2,39.772137,3.064087,25.226349,55.41214
LFPB,RPLL,2,48.99502,2.534156,13.469971,121.632054
LFPO,OTBD,2,48.727661,2.403118,25.369446,51.594493
LIRF,LTAI,2,41.829117,12.220667,36.915925,30.823875
LTAI,OTBD,2,36.915925,30.823875,25.369446,51.594493
RJTT,VABB,2,35.558275,139.769206,19.090235,72.853151
RJTT,YBBN,2,35.558275,139.769206,-27.36335,153.118087
CYUL,KBTF,1,45.49585,-73.691319,40.802456,-111.976364
CYUL,RJBB,1,45.49585,-73.691319,34.468627,135.305672
CYVR,KFLL,1,49.182449,-123.140822,26.077011,-80.175787
CYVR,KPHL,1,49.182449,-123.140822,39.868881,-75.240465
CYVR,LEMG,1,49.182449,-123.140822,36.682744,-4.492429
CYYC,KADS,1,51.129936,-113.990373,33.030116,-96.838653
CYYC,KMIA,1,51.129936,-113.990373,25.78363,-80.373077
CYYZ,KDAB,1,43.665475,-79.611544,29.075684,-81.267823
CYYZ,LEPA,1,43.665475,-79.611544,39.772137,3.064087
CYYZ,PHNL,1,43.665475,-79.611544,21.325289,-157.93026
EBBR,EGKK,1,50.892426,4.495041,51.146713,-0.201094
EBBR,KBFI,1,50.892426,4.495041,47.458901,-122.307833
EBBR,KDCA,1,50.892426,4.495041,38.850205,-77.037643
EBBR,KDEN,1,50.892426,4.495041,39.847028,-104.641541
EBBR,KMSP,1,50.892426,4.495041,44.886354,-93.20573
EBBR,KNZY,1,50.892426,4.495041,32.734219,-117.192381
